iter	Passed	Remaining
0	25	25798
1	45	22612
2	63	21122
3	85	21411
4	107	21393
5	133	22175
6	154	21846
7	171	21210
8	188	20708
9	208	20616
10	238	21454
11	254	20969
12	271	20607
13	286	20171
14	304	19986
15	319	19648
16	338	19553
17	359	19590
18	377	19468
19	396	19432
20	409	19076
21	434	19316
22	450	19121
23	466	18987
24	485	18916
25	503	18863
26	529	19080
27	549	19088
28	568	19035
29	586	18954
30	599	18752
31	621	18809
32	636	18665
33	653	18569
34	677	18667
35	765	20509
36	820	21363
37	853	21618
38	872	21508
39	896	21513
40	913	21369
41	935	21343
42	953	21231
43	970	21087
44	989	21006
45	1002	20796
46	1015	20584
47	1039	20607
48	1057	20518
49	1068	20302
50	1081	20125
51	1101	20089
52	1121	20039
53	1140	19985
54	1156	19873
55	1167	19676
56	1184	19595
57	1211	19671
58	1294	20640
59	1334	20905
60	1374	21163
61	1393	21086
62	1406	20916
63	1425	20845
64	1441	20735
65	1456	20616
66	1475	20544
67	1494	20477
68	1508	20349
69	1525	20261
70	1547	20253
71	1564	20163
72	1581	20081
73	1599	20012
74	1617	19955
75	1641	19958
76	1658	19877
77	1679	19853
78	1699	19810
79	1738	19988
80	1759	19964
81	1781	19948
82	1796	19845
83	1822	19874
84	1843	19849
85	1867	19846
86	1887	19809
87	1907	19764
88	1930	19761
89	1951	19729
90	1969	19676
91	1983	19572
92	2002	19532
93	2026	19528
94	2045	19483
95	2061	19410
96	2078	19350
97	2098	19310
98	2119	19288
99	2140	19260
100	2160	19229
101	2189	19280
102	2213	19279
103	2226	19184
104	2246	19146
105	2266	19114
106	2293	19143
107	2322	19181
108	2347	19193
109	2367	19157
110	2387	19125
111	2407	19088
112	2428	19065
113	2451	19052
114	2470	19010
115	2490	18983
116	2505	18907
117	2529	18908
118	2552	18893
119	2579	18915
120	2600	18893
121	2623	18881
122	2643	18851
123	2665	18832
124	2691	18840
125	2715	18832
126	2732	18781
127	3071	20923
128	3086	20839
129	3135	20983
130	3161	20975
131	3186	20952
132	3211	20934
133	3235	20911
134	3256	20867
135	3275	20810
136	3294	20752
137	3315	20707
138	3332	20642
139	3356	20618
140	3374	20558
141	3395	20517
142	3415	20467
143	3434	20415
144	3443	20305
145	3464	20267
146	3481	20204
