iter	RMSE
0	89846.39602
1	89039.56326
2	88282.23615
3	87561.20993
4	86875.5325
5	86229.37919
6	85598.23702
7	85005.74014
8	84447.60104
9	83912.49431
10	83409.67813
11	82926.85528
12	82470.53981
13	82041.22201
14	81626.12133
15	81256.98596
16	80890.35701
17	80540.92566
18	80216.85207
19	79896.82736
20	79605.46586
21	79323.41425
22	79049.87855
23	78796.93104
24	78553.49722
25	78325.52244
26	78108.8564
27	77900.0311
28	77703.80702
29	77515.24511
30	77337.81129
31	77170.74867
32	77018.96872
33	76869.55748
34	76731.78272
35	76595.92847
36	76468.33171
37	76336.11922
38	76207.8536
39	76095.6261
40	75981.93305
41	75870.35171
42	75765.3133
43	75670.11704
44	75582.04053
45	75493.80305
46	75406.47385
47	75329.52908
48	75257.59903
49	75186.13364
50	75118.16116
51	75055.73227
52	74986.31531
53	74927.68211
54	74872.17916
55	74816.22011
56	74768.26819
57	74718.55602
58	74671.73445
59	74631.21312
60	74591.0229
61	74549.58613
62	74513.96474
63	74480.69528
64	74445.05155
65	74412.68331
66	74379.07902
67	74352.4159
68	74324.20588
69	74296.0757
70	74264.77462
71	74241.19837
72	74218.27777
73	74192.09788
74	74172.89653
75	74153.15088
76	74135.94667
77	74113.90387
78	74092.08942
79	74076.26097
80	74061.24891
81	74040.22973
82	74022.3966
83	74008.40519
84	73993.62734
85	73979.52755
86	73967.25483
87	73954.30662
88	73938.83099
89	73920.77369
90	73908.0342
91	73895.71675
92	73884.21282
93	73874.45036
94	73859.49909
95	73848.49469
96	73837.37424
97	73829.69716
98	73821.92543
99	73814.14971
100	73802.70735
101	73796.63624
102	73791.67504
103	73783.87848
104	73775.87579
105	73770.17681
106	73758.46821
107	73749.82867
108	73743.17757
109	73736.44455
110	73729.3514
111	73723.91446
112	73721.2484
113	73714.11574
114	73706.93281
115	73702.41594
116	73697.37795
117	73686.4581
118	73676.13017
119	73674.57979
120	73672.93914
121	73665.03724
122	73662.17969
123	73656.29786
124	73654.67486
125	73651.30442
126	73649.55502
127	73641.97877
128	73641.07002
129	73633.90121
130	73627.54471
131	73623.19285
132	73620.23481
133	73614.45879
134	73608.95382
135	73605.19622
136	73602.55321
137	73595.56198
138	73587.41933
139	73585.13035
140	73580.20047
141	73578.01907
142	73577.14131
143	73576.24919
144	73575.78532
145	73574.34897
146	73571.77315
147	73566.37874
148	73559.3714
149	73555.29309
150	73553.16194
151	73548.51632
152	73543.98334
153	73534.97053
154	73531.82439
155	73528.48679
156	73523.29187
157	73522.45431
158	73515.35863
159	73515.19875
160	73513.06479
161	73511.40832
162	73509.79854
163	73506.59499
164	73506.0503
165	73504.04781
166	73501.97191
167	73501.33881
168	73499.92276
169	73492.20625
170	73490.094
171	73486.54973
172	73482.06693
173	73479.01049
174	73476.51789
175	73475.23998
176	73469.64163
177	73465.63688
178	73457.15396
179	73447.28229
180	73439.12028
181	73430.68969
182	73417.99656
183	73416.01602
184	73414.45133
185	73410.48947
186	73408.33121
187	73407.89513
188	73405.16547
189	73403.41926
190	73401.49319
191	73397.52956
192	73396.19327
193	73396.11081
194	73395.53941
195	73394.46974
196	73387.64801
197	73384.91648
198	73381.10622
199	73370.29084
200	73365.77048
201	73363.70554
202	73363.52901
203	73361.85782
204	73359.44205
205	73358.12153
206	73357.82256
207	73352.5474
208	73351.40178
209	73345.71616
210	73342.85235
211	73338.79639
212	73338.20596
213	73335.42765
214	73331.21868
215	73331.00067
216	73327.70075
217	73322.73283
218	73321.79732
219	73320.2029
220	73317.08997
221	73316.44736
222	73315.01548
223	73313.4096
224	73309.29561
225	73308.85531
226	73306.73674
227	73300.24472
228	73297.36219
229	73295.98326
230	73294.63721
231	73286.13797
232	73285.88333
233	73285.14207
234	73285.09399
235	73282.78596
236	73280.10493
237	73274.50608
238	73274.10405
239	73274.06711
240	73274.0316
241	73273.38774
242	73271.75926
243	73270.2066
244	73269.92083
245	73266.5251
246	73265.97138
247	73265.75996
248	73265.53543
249	73264.1839
250	73263.999
251	73263.33863
252	73261.28728
253	73260.83107
254	73260.82601
255	73257.01919
256	73255.28517
257	73254.66564
258	73253.33199
259	73246.06735
260	73245.29559
261	73244.84319
262	73244.63056
263	73243.37552
264	73241.48417
265	73239.94409
266	73237.35099
267	73236.41355
268	73233.57916
269	73233.14808
270	73233.13068
271	73227.31635
272	73223.33851
273	73223.33844
274	73218.21798
275	73217.85863
276	73215.6375
277	73215.16011
278	73213.21934
279	73210.9913
280	73210.45215
281	73204.27147
282	73201.92494
283	73199.3166
284	73196.89246
285	73194.4994
286	73192.12732
287	73191.28482
288	73191.28446
289	73187.11367
290	73185.89764
291	73185.81635
292	73185.25786
293	73182.80355
294	73181.79982
295	73178.94647
296	73177.78074
297	73177.17461
298	73177.04146
299	73176.4264
300	73171.97739
301	73171.8131
302	73171.66006
303	73170.08576
304	73170.07928
305	73166.18764
306	73161.35637
307	73160.86362
308	73158.3456
309	73157.78605
310	73155.71529
311	73155.62428
312	73151.73668
313	73151.46689
314	73150.02388
315	73148.76247
316	73148.50854
317	73147.94637
318	73147.93264
319	73147.80928
