iter	RMSE
0	88265.27165
1	87452.92503
2	86671.80208
3	85942.12599
4	85235.72037
5	84573.7839
6	83941.10072
7	83347.25746
8	82771.36713
9	82231.87847
10	81717.83326
11	81224.94856
12	80764.29752
13	80329.23121
14	79917.95377
15	79530.72734
16	79158.31858
17	78800.63152
18	78455.15237
19	78127.32094
20	77829.41213
21	77551.00877
22	77279.83868
23	77014.03153
24	76767.28786
25	76531.67782
26	76313.69888
27	76105.24645
28	75891.11878
29	75687.20653
30	75492.6768
31	75310.46432
32	75131.18149
33	74969.76682
34	74811.60177
35	74660.72525
36	74521.77088
37	74392.41884
38	74264.97723
39	74139.2654
40	74029.35785
41	73922.33204
42	73821.69437
43	73730.25763
44	73637.43922
45	73547.69207
46	73463.24847
47	73382.99075
48	73308.21816
49	73237.19957
50	73167.40486
51	73101.04097
52	73041.95032
53	72979.11861
54	72923.23856
55	72872.49015
56	72823.71147
57	72775.7993
58	72733.71609
59	72689.79164
60	72647.8242
61	72611.99338
62	72572.75024
63	72531.43403
64	72502.56496
65	72465.62409
66	72437.02175
67	72407.56219
68	72379.4644
69	72351.57853
70	72327.68031
71	72306.79958
72	72286.26364
73	72263.93871
74	72239.96955
75	72212.2179
76	72195.2131
77	72173.21957
78	72149.35209
79	72132.06199
80	72118.40056
81	72103.89303
82	72087.37621
83	72072.0996
84	72053.59062
85	72040.15229
86	72026.97409
87	72015.35142
88	72003.94883
89	71990.91164
90	71972.73615
91	71959.98575
92	71944.14257
93	71933.12903
94	71923.28712
95	71915.93103
96	71904.63337
97	71892.19665
98	71881.75623
99	71874.49169
100	71860.6312
101	71852.30338
102	71842.42102
103	71835.87279
104	71830.73811
105	71827.63631
106	71816.46746
107	71808.30066
108	71802.46623
109	71795.86511
110	71792.54578
111	71784.45208
112	71780.01579
113	71775.77507
114	71769.61702
115	71763.50086
116	71759.52559
117	71754.13408
118	71748.61757
119	71742.24219
120	71734.30778
121	71729.2014
122	71725.97965
123	71719.90327
124	71715.24671
125	71709.46214
126	71700.00534
127	71694.39302
128	71688.42147
129	71687.66196
130	71684.79466
131	71675.9311
132	71674.56632
133	71673.24282
134	71669.42511
135	71663.7056
136	71661.74083
137	71657.6121
138	71653.93816
139	71650.18748
140	71645.98085
141	71644.61683
142	71639.14307
143	71636.60454
144	71631.20802
145	71630.05237
146	71628.4666
147	71625.76855
148	71620.01116
149	71617.46767
150	71603.83699
151	71601.45373
152	71599.79662
153	71596.38482
154	71592.63905
155	71588.11763
156	71586.80845
157	71586.66247
158	71585.56273
159	71585.32731
160	71583.41875
161	71581.73983
162	71579.07649
163	71577.86009
164	71575.52607
165	71574.88117
166	71574.49168
167	71564.39014
168	71563.8356
169	71563.47213
170	71558.68985
171	71555.08782
172	71553.47872
173	71547.27598
174	71545.72064
175	71545.54772
176	71541.7806
177	71535.03503
178	71522.99184
179	71519.49657
180	71518.49582
181	71511.09231
182	71508.15447
183	71505.33777
184	71499.61733
185	71495.19878
186	71489.83251
187	71489.39697
188	71487.25286
189	71481.98578
190	71480.60003
191	71479.21183
192	71477.34751
193	71476.72252
194	71473.87835
195	71471.75076
196	71471.61435
197	71470.54822
198	71468.62419
199	71468.39176
200	71466.19022
201	71466.10191
202	71459.76307
203	71457.49623
204	71454.7693
205	71447.82189
206	71443.95918
207	71443.76045
208	71442.66327
209	71442.63171
210	71435.83424
211	71428.34658
212	71426.53041
213	71424.37213
214	71423.90404
215	71423.54851
216	71423.01225
217	71422.08472
218	71422.01099
219	71421.80324
220	71419.49449
221	71418.53952
222	71416.49496
223	71416.07916
224	71415.56287
225	71414.07137
226	71411.9223
227	71411.56862
228	71410.89877
229	71410.89798
230	71408.36565
231	71404.58157
232	71395.94249
233	71390.06929
234	71382.52237
235	71378.99298
236	71378.87591
237	71378.64747
238	71374.49192
239	71374.01779
240	71371.32207
241	71369.77355
242	71369.74534
243	71368.46438
244	71366.39385
245	71362.41182
246	71360.2481
247	71357.17995
248	71354.21923
249	71352.16739
250	71351.7289
251	71347.09641
252	71344.99316
253	71344.09675
254	71343.98044
255	71336.55346
256	71331.79285
257	71331.64604
258	71331.62489
259	71331.56523
260	71330.731
261	71327.86942
262	71327.83905
263	71322.80559
264	71321.15782
265	71318.58487
266	71316.68183
267	71311.70396
268	71309.70726
269	71307.97661
270	71306.12334
271	71302.98344
272	71300.54862
273	71300.3768
274	71299.73087
275	71299.728
276	71299.44347
277	71294.24672
278	71293.77756
279	71293.15766
280	71292.00798
281	71291.80287
282	71288.28477
283	71286.81963
284	71285.81281
285	71285.25515
286	71285.01154
287	71284.37746
288	71281.34538
289	71277.0396
290	71275.71978
291	71272.44085
292	71270.85782
293	71266.99383
294	71266.82456
295	71259.70161
296	71259.69566
297	71257.97881
298	71256.12211
299	71253.65997
300	71253.49249
301	71250.77093
302	71247.61657
303	71246.73103
304	71246.64204
305	71246.59981
306	71246.39745
307	71238.22336
308	71235.85063
309	71233.90397
310	71231.82882
311	71231.58453
312	71230.05731
313	71229.36416
314	71224.19713
315	71224.12039
316	71222.47289
317	71219.00045
318	71218.81569
319	71217.24865
320	71213.89993
321	71210.39951
322	71210.17512
323	71210.08868
324	71207.5029
325	71206.06939
326	71203.55664
327	71203.24692
328	71201.26287
329	71200.36775
