iter	Passed	Remaining
0	30	30276
1	47	23584
2	64	21479
3	78	19652
4	95	19102
5	113	18791
6	131	18666
7	146	18202
8	165	18254
9	204	20235
10	236	21276
11	254	20949
12	271	20638
13	290	20441
14	305	20037
15	321	19802
16	334	19347
17	351	19198
18	373	19263
19	390	19140
20	409	19079
21	443	19711
22	467	19844
23	482	19639
24	499	19480
25	517	19382
26	537	19355
27	555	19272
28	574	19222
29	591	19126
30	612	19138
31	664	20097
32	680	19943
33	700	19907
34	721	19880
35	738	19779
36	754	19643
37	771	19530
38	784	19339
39	797	19130
40	807	18886
41	820	18721
42	835	18584
43	851	18506
44	865	18363
45	879	18236
46	891	18074
47	903	17919
48	921	17883
49	934	17749
50	950	17681
51	965	17602
52	983	17571
53	997	17472
54	1013	17410
55	1029	17349
56	1050	17377
57	1064	17295
58	1083	17276
59	1098	17215
60	1124	17304
61	1143	17306
62	1158	17235
63	1177	17225
64	1195	17193
65	1231	17430
66	1310	18245
67	1340	18378
68	1356	18304
69	1375	18278
70	1393	18236
71	1411	18192
72	1429	18151
73	1448	18128
74	1467	18101
75	1484	18053
76	1508	18076
77	1528	18073
78	1551	18082
79	1567	18030
80	1584	17977
81	1601	17927
82	1623	17941
83	1646	17953
84	1669	17977
85	1689	17956
86	1705	17901
87	1727	17898
88	1748	17897
89	1770	17902
90	1788	17864
91	1804	17811
92	1820	17757
93	1837	17710
94	1856	17682
95	1874	17654
96	1894	17637
97	1909	17577
98	1925	17523
99	1936	17425
100	1946	17321
101	1962	17280
102	1980	17246
103	2002	17254
104	2026	17274
105	2033	17147
106	2054	17148
107	2073	17128
108	2087	17064
109	2105	17032
110	2118	16965
111	2130	16895
112	2149	16875
113	2169	16863
114	2185	16818
115	2199	16758
116	2213	16703
117	2248	16809
118	2270	16806
119	2293	16820
120	2310	16782
121	2333	16791
122	2347	16735
123	2360	16674
124	2382	16677
125	2402	16663
126	2430	16704
127	2447	16671
128	2465	16647
129	2479	16591
130	2500	16584
131	2515	16538
132	2529	16489
133	2543	16438
134	2563	16427
135	2580	16390
136	2599	16372
137	2615	16337
138	2633	16315
139	2652	16293
140	2674	16292
141	2688	16246
142	2707	16223
143	2723	16187
144	2741	16164
145	2755	16117
146	2773	16091
147	2792	16076
148	2808	16040
149	2824	16005
150	2847	16010
151	2868	16004
152	2888	15990
153	2911	15995
154	2928	15966
155	2950	15961
156	2969	15942
157	2979	15876
158	2997	15854
159	3012	15816
160	3025	15767
161	3041	15734
162	3054	15683
163	3072	15663
164	3092	15647
165	3110	15626
166	3125	15592
167	3146	15582
168	3161	15544
169	3173	15493
170	3189	15463
171	3206	15435
172	3225	15421
173	3259	15474
174	3308	15595
175	3327	15576
176	3348	15568
177	3368	15557
178	3384	15522
179	3396	15472
180	3416	15461
181	3435	15442
182	3455	15424
183	3473	15403
184	3495	15400
185	3517	15393
186	3541	15395
187	3560	15379
188	3582	15370
189	3599	15345
190	3615	15315
191	3637	15309
192	3658	15297
193	3672	15259
194	3691	15237
195	3711	15225
196	3727	15195
197	3747	15178
198	3769	15174
199	3784	15136
200	3800	15107
201	3815	15074
202	3842	15087
203	3866	15085
204	3881	15054
205	3902	15039
206	3916	15003
207	3931	14970
208	3951	14954
209	3965	14916
210	3981	14889
211	4003	14879
212	4022	14861
213	4038	14834
214	4055	14805
215	4073	14785
216	4088	14753
217	4107	14733
218	4121	14698
219	4140	14681
220	4157	14653
221	4173	14624
222	4187	14590
223	4200	14551
224	4212	14509
225	4227	14478
226	4242	14446
227	4273	14470
228	4298	14471
229	4308	14422
230	4326	14402
231	4344	14380
232	4362	14359
233	4379	14336
234	4391	14295
235	4405	14262
236	4419	14229
237	4433	14194
238	4452	14178
239	4466	14144
240	4480	14109
241	4500	14095
242	4511	14054
243	4527	14027
244	4543	14000
245	4556	13964
246	4578	13958
247	4600	13949
248	4623	13943
249	4640	13920
250	4664	13920
251	4684	13905
252	4710	13906
253	4730	13892
254	4745	13865
255	4761	13837
256	4779	13817
