iter	Passed	Remaining
0	65	65834
1	96	48053
2	122	40732
3	155	38787
4	179	35715
5	203	33744
6	221	31385
7	247	30681
8	268	29549
9	285	28233
10	305	27475
11	327	26976
12	378	28723
13	412	29081
14	461	30283
15	482	29645
16	518	30001
17	552	30150
18	583	30137
19	606	29706
20	640	29862
21	664	29526
22	684	29056
23	699	28448
24	712	27793
25	729	27329
26	758	27320
27	773	26846
28	792	26519
29	809	26167
30	829	25930
31	846	25621
32	859	25176
33	876	24902
34	898	24783
35	920	24651
36	938	24427
37	953	24139
38	967	23848
39	986	23680
40	1026	24019
41	1049	23946
42	1063	23679
43	1076	23398
44	1090	23151
45	1102	22866
46	1130	22922
47	1144	22694
48	1155	22429
49	1178	22383
50	1196	22272
51	1213	22116
52	1228	21945
53	1243	21782
54	1257	21603
55	1274	21489
56	1298	21481
57	1313	21333
58	1330	21218
59	1348	21131
60	1364	20999
61	1377	20837
62	1399	20814
63	1417	20726
64	1439	20712
65	1541	21821
66	1580	22006
67	1605	22005
68	1635	22072
69	1654	21975
70	1673	21901
71	1695	21847
72	1718	21826
73	1740	21781
74	1762	21738
75	1785	21709
76	1805	21644
77	1825	21581
78	1845	21510
79	1862	21418
80	1878	21311
81	1894	21205
82	1909	21098
83	1943	21192
84	1959	21091
85	1975	20996
86	1995	20936
87	2017	20909
88	2033	20812
89	2050	20736
90	2065	20629
91	2096	20693
92	2114	20625
93	2127	20509
94	2146	20452
95	2168	20419
96	2185	20344
97	2205	20297
98	2225	20251
99	2246	20221
100	2269	20196
101	2289	20160
102	2304	20069
103	2323	20017
104	2346	20005
105	2363	19929
106	2379	19862
107	2390	19743
108	2428	19853
109	2453	19852
110	2471	19793
111	2489	19737
112	2506	19678
113	2528	19649
114	2543	19570
115	2561	19521
116	2576	19448
117	2589	19354
118	2604	19284
119	2620	19216
120	2634	19140
121	2654	19103
122	2675	19078
123	2692	19021
124	2709	18965
125	2746	19051
126	2773	19068
127	2797	19058
128	2819	19035
129	2837	18991
130	2859	18968
131	2877	18923
132	2895	18877
133	2913	18831
134	2932	18787
135	2960	18809
136	2977	18758
137	2993	18698
138	3015	18676
139	3035	18646
140	3058	18633
141	3077	18597
142	3093	18538
143	3110	18488
144	3129	18454
145	3141	18378
146	3158	18327
147	3177	18293
148	3200	18279
149	3216	18229
150	3234	18187
151	3255	18160
152	3279	18154
153	3299	18124
154	3314	18067
155	3330	18018
156	3345	17960
157	3363	17923
158	3381	17887
159	3398	17843
160	3413	17787
161	3433	17763
162	3452	17728
163	3474	17710
164	3492	17676
165	3516	17664
166	3539	17656
167	3562	17642
168	3588	17646
169	3614	17648
170	3636	17630
171	3665	17645
172	3681	17596
173	3702	17576
174	3724	17560
175	3743	17524
176	3758	17476
177	3777	17443
178	3799	17425
179	3815	17380
180	3834	17349
181	3852	17313
182	3867	17267
183	3892	17261
184	3923	17283
185	3945	17265
186	3962	17226
187	3985	17215
188	3999	17160
189	4026	17165
190	4048	17146
191	4070	17131
192	4092	17113
193	4109	17073
194	4129	17045
195	4147	17014
196	4163	16972
197	4168	16883
198	4181	16830
199	4202	16808
200	4223	16790
201	4242	16759
202	4260	16725
203	4277	16689
204	4293	16651
205	4305	16593
206	4324	16568
207	4340	16526
208	4355	16484
209	4371	16443
210	4386	16403
211	4417	16418
212	4438	16400
213	4470	16420
214	4497	16419
215	4521	16410
216	4543	16395
217	4565	16378
218	4570	16299
219	4597	16301
220	4657	16416
221	4667	16357
222	4704	16392
223	4729	16383
224	4748	16355
225	4769	16335
226	4792	16318
227	4806	16276
228	4815	16212
229	4853	16247
230	4869	16210
231	4891	16193
232	4919	16194
233	4939	16170
234	4962	16156
235	4986	16141
236	5005	16115
237	5027	16097
238	5051	16083
239	5070	16057
240	5090	16031
241	5110	16007
242	5126	15971
243	5145	15943
244	5165	15917
245	5181	15882
246	5187	15813
247	5206	15786
248	5223	15752
249	5244	15733
250	5283	15766
251	5303	15741
252	5316	15697
253	5333	15664
254	5350	15631
255	5366	15595
256	5386	15573
257	5412	15565
258	5429	15534
259	5451	15516
260	5464	15473
261	5479	15434
262	5497	15406
263	5509	15359
264	5527	15329
265	5543	15296
266	5558	15260
267	5578	15236
268	5596	15207
269	5615	15183
270	5627	15137
271	5644	15108
272	5658	15069
273	5679	15048
274	5710	15054
275	5735	15045
276	5758	15029
277	5782	15016
278	5802	14995
279	5818	14961
280	5842	14949
281	5865	14933
282	5879	14896
283	5914	14910
284	5945	14916
285	5965	14892
286	5985	14871
287	6009	14856
288	6030	14836
289	6040	14788
290	6054	14751
291	6069	14715
292	6086	14687
293	6102	14653
294	6119	14625
295	6133	14588
296	6148	14554
297	6169	14533
298	6186	14505
299	6222	14518
300	6245	14503
301	6264	14479
302	6290	14470
303	6298	14420
304	6321	14404
305	6342	14385
306	6363	14363
307	6386	14347
308	6402	14318
309	6416	14282
310	6433	14253
311	6454	14232
312	6471	14204
313	6491	14181
314	6508	14153
315	6525	14125
