iter	RMSE
0	91326.21212
1	90532.73215
2	89771.01768
3	89054.71616
4	88376.582
5	87728.37626
6	87106.14646
7	86525.00049
8	85981.77337
9	85458.49942
10	84964.03835
11	84486.27425
12	84033.64909
13	83609.52653
14	83202.08494
15	82817.60339
16	82455.53082
17	82113.93039
18	81784.07132
19	81481.94477
20	81185.98937
21	80907.03686
22	80626.10748
23	80360.14114
24	80117.40627
25	79875.79601
26	79652.57787
27	79436.13852
28	79241.93061
29	79050.55462
30	78868.85429
31	78702.37722
32	78545.27777
33	78398.2268
34	78252.46665
35	78115.65856
36	77983.12378
37	77861.6736
38	77741.04807
39	77625.19924
40	77515.63727
41	77420.0976
42	77326.83244
43	77239.73004
44	77154.91594
45	77080.40708
46	77001.96409
47	76931.42062
48	76859.86872
49	76792.00356
50	76727.29993
51	76667.61557
52	76608.60522
53	76555.535
54	76505.75878
55	76456.83224
56	76412.15728
57	76367.27203
58	76325.37419
59	76287.88643
60	76252.46485
61	76213.34928
62	76181.07759
63	76142.68107
64	76108.66859
65	76078.79396
66	76050.37984
67	76024.57101
68	75995.05981
69	75966.87247
70	75936.89356
71	75908.38878
72	75888.25964
73	75868.81909
74	75850.72597
75	75828.37192
76	75813.60988
77	75793.41615
78	75777.9005
79	75762.17629
80	75744.39916
81	75723.0531
82	75705.2474
83	75693.87724
84	75675.96442
85	75665.23881
86	75647.24696
87	75628.71555
88	75613.54798
89	75601.30802
90	75585.07
91	75573.21975
92	75564.47787
93	75553.07921
94	75543.22964
95	75531.6162
96	75524.92615
97	75515.58649
98	75507.66769
99	75501.51046
100	75491.10356
101	75481.96452
102	75476.43803
103	75470.24597
104	75458.19107
105	75450.26575
106	75446.03195
107	75439.35326
108	75436.00093
109	75428.11004
110	75422.90403
111	75415.08586
112	75405.65271
113	75396.17387
114	75388.16734
115	75384.25512
116	75376.99573
117	75374.32649
118	75368.90369
119	75359.75405
120	75352.72687
121	75344.1605
122	75333.42078
123	75327.90204
124	75320.72439
125	75313.22509
126	75311.22901
127	75309.34845
128	75304.81726
129	75294.85101
130	75290.83344
131	75284.12663
132	75279.71252
133	75276.10839
134	75274.55206
135	75266.31654
136	75259.98457
137	75257.45381
138	75248.61149
139	75246.76862
140	75238.83982
141	75231.68277
142	75229.0975
143	75224.25769
144	75223.55974
145	75220.01565
146	75217.04365
147	75209.24633
148	75204.61588
149	75198.29122
150	75189.74159
151	75185.65647
152	75179.56739
153	75177.10497
154	75174.37534
155	75168.43698
156	75165.79949
157	75165.06037
158	75164.16563
159	75158.308
160	75156.37876
161	75151.18983
162	75149.52776
163	75146.5911
164	75143.36917
165	75137.39248
166	75124.2002
167	75122.4804
168	75115.04343
169	75110.92216
170	75109.41681
171	75100.9953
172	75100.66634
173	75097.37359
174	75093.16453
175	75092.37343
176	75086.17985
177	75081.90347
178	75078.37527
179	75071.36328
180	75070.47231
181	75065.58289
182	75062.92969
183	75059.61403
184	75055.52379
185	75053.31615
186	75047.10048
187	75043.86292
188	75041.54952
189	75039.93189
190	75036.75124
191	75034.88137
192	75028.60969
193	75017.48303
194	75015.76604
195	75011.05008
196	75006.18359
197	75006.17744
198	75002.19079
199	74996.80058
200	74996.0706
201	74993.05644
202	74986.81403
203	74986.07684
204	74981.47131
205	74976.79763
206	74970.3954
207	74964.89598
208	74960.29489
209	74955.79255
210	74953.78637
211	74951.85694
212	74951.85332
213	74950.86547
214	74949.76675
215	74948.07642
216	74942.60246
217	74935.80049
218	74935.79819
219	74930.88123
220	74929.40929
221	74929.40668
222	74921.85948
223	74920.60052
224	74916.74898
225	74914.29064
226	74911.39507
227	74909.76837
228	74909.76674
229	74907.13238
230	74906.70491
231	74902.57492
232	74900.88072
233	74894.85667
234	74886.19931
235	74884.18272
236	74876.96413
237	74875.42621
238	74873.79008
239	74871.86617
240	74870.20222
241	74869.48011
242	74861.30503
243	74853.62056
244	74850.90599
245	74848.37129
246	74848.3703
247	74846.56406
248	74844.14525
249	74842.2732
250	74840.93912
251	74833.00838
