iter	RMSE
0	91136.5752
1	90342.59159
2	89581.08225
3	88854.5564
4	88167.60422
5	87518.12511
6	86894.43802
7	86308.42077
8	85745.9734
9	85219.33333
10	84735.38925
11	84253.29657
12	83809.12728
13	83384.62058
14	82976.65302
15	82596.71014
16	82229.86194
17	81883.7751
18	81553.34448
19	81243.3252
20	80950.12395
21	80670.18725
22	80402.92138
23	80153.26235
24	79913.17301
25	79680.22301
26	79467.45502
27	79263.67226
28	79071.55013
29	78885.22036
30	78713.87744
31	78552.78369
32	78386.65662
33	78225.93818
34	78077.47098
35	77934.1573
36	77799.39267
37	77672.564
38	77554.25596
39	77437.67463
40	77328.68848
41	77218.36587
42	77121.68169
43	77029.05842
44	76942.80431
45	76855.90867
46	76774.19371
47	76699.92416
48	76629.51893
49	76561.39079
50	76496.26892
51	76432.23934
52	76375.32111
53	76320.24094
54	76260.77552
55	76210.56301
56	76163.42439
57	76116.40787
58	76066.32022
59	76022.4056
60	75983.21081
61	75943.74492
62	75910.32879
63	75875.86222
64	75847.84722
65	75820.53376
66	75786.72806
67	75760.46505
68	75732.7874
69	75706.48779
70	75683.09976
71	75660.79365
72	75640.80695
73	75610.43612
74	75583.00439
75	75563.28881
76	75548.21393
77	75531.83957
78	75513.74554
79	75494.05875
80	75477.04894
81	75459.0786
82	75446.16395
83	75432.73611
84	75418.86723
85	75405.68548
86	75389.89498
87	75368.07069
88	75353.26865
89	75340.11331
90	75325.54388
91	75317.43716
92	75305.8305
93	75291.00006
94	75283.28517
95	75276.33321
96	75266.71348
97	75253.90842
98	75247.9646
99	75235.87562
100	75224.6197
101	75216.6976
102	75207.31394
103	75199.84321
104	75190.46897
105	75180.19407
106	75172.28453
107	75163.47894
108	75154.81325
109	75147.98986
110	75133.95266
111	75129.09815
112	75121.9968
113	75116.04353
114	75104.86854
115	75098.52532
116	75092.15832
117	75084.36038
118	75072.44428
119	75065.76231
120	75062.51876
121	75057.07383
122	75051.61192
123	75044.75199
124	75039.42292
125	75031.32186
126	75022.69114
127	75019.91479
128	75012.02184
129	75005.81296
130	75004.41541
131	75001.73434
132	74992.00047
133	74990.07842
134	74973.83436
135	74970.10734
136	74965.38875
137	74958.48487
138	74955.62997
139	74950.83288
140	74943.09531
141	74940.31983
142	74938.96265
143	74927.35901
144	74925.98058
145	74924.07516
146	74921.55825
147	74917.46083
148	74912.11141
149	74907.27527
150	74906.38338
151	74906.29156
152	74900.63773
153	74900.23189
154	74898.24961
155	74896.00085
156	74891.31173
157	74888.96064
158	74878.60753
159	74874.62492
160	74871.11546
161	74866.99291
162	74863.80205
163	74861.00905
164	74852.89927
165	74843.77542
166	74836.54439
167	74828.37989
168	74827.8843
169	74825.29352
170	74824.08016
171	74821.25453
172	74819.84534
173	74814.07699
174	74805.75641
175	74805.4639
176	74798.53127
177	74792.86219
178	74792.31617
179	74789.30821
180	74785.43439
181	74784.33636
182	74780.08284
183	74777.95732
184	74773.22951
185	74772.46193
186	74766.86857
187	74763.88049
188	74759.23642
189	74758.99366
190	74755.73054
191	74745.07941
192	74738.57994
193	74735.86554
194	74731.08116
195	74727.54686
196	74715.64467
197	74714.43948
198	74714.37286
199	74714.19937
200	74714.1339
201	74708.86048
202	74707.69371
203	74704.74181
204	74697.45444
205	74696.48368
206	74692.83876
207	74690.61986
208	74688.67532
209	74687.4129
210	74684.27642
211	74683.16127
212	74683.14612
213	74674.00287
214	74670.13324
215	74662.59487
216	74656.9743
217	74656.96736
218	74654.0994
219	74653.89334
220	74652.83038
221	74645.14659
222	74641.90964
223	74641.42703
224	74639.10258
225	74636.36099
226	74633.25176
227	74633.17952
228	74622.52626
229	74618.99622
230	74616.02098
231	74613.13274
232	74611.0042
233	74609.24749
234	74606.58214
235	74606.33541
236	74595.805
237	74586.7981
238	74584.90473
239	74578.78753
240	74574.21446
241	74569.10221
242	74561.33527
243	74558.04473
244	74553.44389
245	74551.01992
246	74549.17914
247	74548.38523
248	74548.32735
249	74544.40725
250	74541.71823
251	74538.49845
252	74532.32867
253	74524.86144
254	74524.31091
255	74521.99754
256	74520.20707
257	74516.3041
258	74512.75791
259	74504.49471
260	74503.88815
261	74502.70784
262	74502.60941
263	74498.54283
264	74497.7899
265	74494.11531
266	74492.30023
267	74490.17563
268	74490.15928
269	74487.2079
270	74478.05371
271	74473.37048
272	74469.64602
273	74464.4392
274	74462.67632
275	74455.64675
276	74453.13541
277	74453.10112
278	74449.73807
279	74447.22738
280	74446.01598
281	74434.40479
282	74434.20492
283	74430.8556
284	74429.35934
285	74426.84492
286	74426.31832
287	74423.88577
288	74423.60855
289	74418.57134
290	74418.12105
291	74415.93589
292	74415.93423
293	74415.24666
294	74413.68187
295	74410.5074
296	74410.45142
297	74401.63746
298	74400.94051
299	74400.86688
300	74400.56037
301	74397.93013
302	74397.49185
303	74394.97336
304	74393.37691
305	74391.75142
306	74389.13402
307	74388.48839
308	74382.9219
309	74378.73861
310	74378.53008
311	74374.87447
312	74372.34895
313	74370.68729
314	74359.27235
315	74355.75296
316	74352.52134
317	74349.66266
318	74344.21713
319	74340.41842
320	74340.10191
321	74339.59252
322	74334.98099
323	74333.34428
324	74330.02436
325	74322.24172
326	74315.102
327	74314.84105
328	74312.82047
329	74309.29533
330	74305.14596
331	74305.04771
332	74302.88508
333	74300.56977
334	74300.08217
335	74300.07895
336	74298.37217
337	74290.45093
338	74289.23466
339	74286.98353
340	74285.4385
341	74285.39007
342	74284.58303
343	74282.6569
344	74279.51087
345	74277.92054
346	74275.23815
347	74274.00245
348	74273.94255
349	74273.60808
350	74273.41793
351	74271.07842
352	74267.12196
353	74266.06556
354	74265.08996
355	74260.88023
356	74260.18601
357	74258.81596
358	74258.8143
359	74256.50911
360	74255.10247
361	74255.0526
362	74252.6254
363	74250.06405
364	74244.7879
365	74243.92063
366	74243.91736
367	74242.0244
368	74241.45883
369	74240.30559
370	74240.25528
371	74237.39148
372	74234.30221
373	74231.04903
374	74230.51197
375	74228.73782
376	74226.84547
377	74226.83748
378	74226.74788
379	74226.41899
380	74226.28972
381	74225.74527
382	74224.63009
383	74218.63356
384	74214.31465
385	74213.36859
386	74213.04076
387	74212.56817
388	74211.95126
389	74210.57911
390	74208.24613
391	74206.9065
392	74205.82054
393	74205.73347
394	74203.40286
395	74203.10002
396	74199.24935
397	74194.58323
398	74193.87677
399	74193.86244
400	74191.12583
401	74191.12453
402	74189.88625
403	74188.58223
404	74188.56692
405	74185.84726
406	74181.15103
407	74180.42578
408	74178.31469
409	74176.18747
410	74173.94477
411	74173.78827
412	74173.16063
413	74171.33735
414	74171.19019
415	74171.15752
416	74170.57695
417	74166.84573
418	74166.83851
419	74166.17108
420	74159.60183
421	74155.20049
422	74152.16808
423	74149.79886
424	74147.65454
425	74144.6798
426	74144.66535
427	74144.62779
428	74143.99422
429	74142.0089
430	74142.00534
431	74142.0021
432	74142.00086
433	74137.82155
434	74137.81757
435	74136.59177
436	74134.09585
437	74131.83862
438	74130.60825
439	74130.60552
440	74127.83278
441	74122.16665
442	74119.7066
443	74118.6411
444	74116.31988
445	74114.61199
446	74113.41923
447	74109.97849
448	74105.82347
449	74105.81077
450	74105.25987
451	74105.24513
452	74103.14857
453	74099.18596
454	74098.99594
455	74093.67579
456	74091.23346
457	74089.2452
458	74088.80437
459	74086.91805
460	74085.83902
461	74083.7895
462	74079.78179
463	74079.77134
464	74079.76525
465	74079.08291
