iter	Passed	Remaining
0	29	29969
1	49	24647
2	69	23189
3	89	22280
4	115	22889
5	144	23885
6	158	22515
7	183	22781
8	202	22250
9	228	22648
10	243	21849
11	273	22515
12	290	22081
13	306	21557
14	327	21513
15	353	21763
16	380	22028
17	405	22138
18	428	22133
19	449	22001
20	461	21526
21	479	21306
22	495	21051
23	514	20937
24	533	20822
25	555	20828
26	572	20635
27	594	20644
28	609	20416
29	626	20255
30	643	20114
31	664	20112
32	681	19960
33	698	19854
34	714	19709
35	730	19573
36	749	19503
37	760	19263
38	786	19373
39	803	19276
40	816	19095
41	832	18989
42	845	18824
43	859	18670
44	875	18583
45	889	18450
46	904	18334
47	919	18231
48	932	18105
49	947	17997
50	965	17963
51	976	17806
52	996	17813
53	1010	17702
54	1025	17625
55	1043	17586
56	1060	17539
57	1075	17466
58	1089	17376
59	1106	17329
60	1123	17296
61	1138	17220
62	1156	17197
63	1168	17091
64	1186	17066
65	1199	16968
66	1208	16826
67	1227	16824
68	1241	16752
69	1261	16762
70	1282	16785
71	1301	16776
72	1316	16714
73	1332	16679
74	1350	16656
75	1368	16640
76	1384	16598
77	1395	16497
78	1415	16499
79	1436	16524
80	1458	16542
81	1475	16519
82	1493	16500
83	1507	16442
84	1527	16447
85	1543	16403
86	1557	16347
87	1574	16320
88	1592	16296
89	1607	16258
90	1617	16161
91	1639	16178
92	1651	16102
93	1662	16026
94	1678	15991
95	1698	15992
96	1715	15972
97	1741	16027
98	1759	16014
99	1784	16064
100	1799	16013
101	1815	15984
102	1830	15940
103	1847	15917
104	1865	15899
105	1879	15851
106	1894	15814
107	1907	15756
108	1920	15699
109	1940	15700
110	1960	15699
111	1981	15707
112	1999	15695
113	2017	15683
114	2050	15780
115	2064	15735
116	2079	15695
117	2095	15666
118	2133	15795
119	2157	15821
120	2174	15794
121	2189	15759
122	2206	15730
123	2219	15677
124	2235	15648
125	2253	15634
126	2276	15651
127	2292	15616
128	2311	15607
129	2330	15595
130	2348	15578
131	2370	15590
132	2387	15566
133	2406	15551
134	2426	15549
135	2438	15489
136	2454	15461
137	2473	15449
138	2492	15436
139	2507	15402
140	2525	15387
141	2544	15377
142	2561	15354
143	2584	15361
144	2601	15338
145	2620	15326
146	2638	15313
147	2658	15304
148	2669	15243
149	2684	15214
150	2700	15182
151	2706	15098
152	2719	15053
153	2732	15009
154	2744	14962
155	2766	14966
156	2790	14980
157	2804	14945
158	2819	14912
159	2841	14915
160	2875	14985
161	2913	15073
162	2937	15081
163	2958	15082
164	2984	15102
165	3003	15087
166	3023	15081
167	3050	15108
168	3076	15125
169	3131	15289
170	3155	15297
171	3180	15309
172	3200	15300
173	3230	15336
174	3258	15360
175	3274	15330
176	3308	15381
177	3332	15391
178	3354	15387
179	3375	15376
180	3393	15354
181	3412	15338
182	3449	15400
183	3475	15412
184	3497	15408
185	3521	15413
186	3540	15392
187	3560	15377
188	3581	15367
189	3605	15370
190	3622	15344
191	3642	15328
192	3660	15306
193	3676	15272
194	3696	15261
195	3715	15239
196	3735	15226
197	3762	15239
198	3774	15194
199	3793	15175
200	3832	15232
201	3850	15210
202	3859	15153
203	3876	15125
204	3894	15104
205	3911	15075
206	3927	15046
207	3942	15011
208	3964	15002
209	3981	14976
210	3999	14956
211	4014	14922
212	4027	14881
213	4051	14880
214	4071	14865
215	4092	14853
216	4114	14846
217	4122	14787
218	4139	14762
219	4153	14724
220	4174	14714
221	4193	14696
222	4206	14656
223	4216	14606
224	4235	14589
225	4252	14564
226	4267	14533
227	4284	14508
228	4306	14499
229	4323	14473
230	4341	14454
231	4363	14443
232	4383	14429
233	4407	14426
234	4434	14435
235	4450	14409
236	4471	14396
237	4496	14395
238	4517	14385
239	4534	14359
240	4549	14328
241	4569	14313
242	4591	14302
243	4604	14266
244	4630	14269
245	4660	14283
246	4679	14265
247	4706	14271
248	4714	14218
249	4734	14202
250	4752	14181
251	4774	14173
252	4798	14168
253	4826	14176
254	4842	14148
255	4872	14160
256	4893	14147
257	4918	14144
258	4940	14136
259	4964	14128
260	4978	14096
261	4992	14061
262	5009	14037
263	5033	14033
264	5052	14014
265	5068	13984
266	5081	13949
267	5098	13926
268	5105	13874
269	5129	13869
270	5150	13856
271	5178	13860
272	5202	13855
273	5228	13853
274	5250	13843
275	5271	13829
276	5296	13825
277	5307	13784
278	5328	13769
279	5355	13770
280	5376	13757
281	5395	13738
282	5413	13714
283	5438	13711
284	5462	13704
285	5490	13707
286	5510	13688
287	5532	13677
288	5557	13673
289	5592	13692
290	5623	13701
291	5660	13724
292	5674	13691
293	5714	13723
294	5744	13728
295	5766	13714
296	5783	13689
297	5893	13882
298	6004	14076
299	6038	14090
300	6086	14135
301	6121	14147
302	6146	14139
303	6175	14139
304	6201	14131
305	6218	14104
306	6246	14100
307	6262	14071
308	6284	14054
309	6298	14018
310	6313	13986
311	6336	13972
312	6362	13963
313	6380	13938
314	6404	13926
315	6424	13905
316	6439	13875
317	6455	13845
318	6474	13821
319	6496	13804
320	6510	13770
321	6524	13737
322	6540	13709
323	6554	13676
324	6584	13675
325	6601	13649
326	6620	13626
327	6633	13590
328	6649	13561
329	6666	13535
330	6687	13517
331	6708	13497
332	6743	13507
333	6773	13505
334	6792	13483
335	6799	13437
336	6837	13451
337	6888	13492
338	6905	13465
339	6925	13443
340	6939	13411
341	6951	13374
342	6968	13348
343	6992	13333
344	7007	13304
345	7025	13279
346	7043	13255
347	7064	13235
348	7085	13217
349	7106	13198
350	7116	13158
351	7139	13143
352	7155	13115
353	7180	13103
354	7200	13082
355	7226	13073
356	7246	13052
357	7269	13035
358	7277	12994
359	7297	12972
360	7319	12956
361	7330	12920
362	7346	12892
363	7372	12881
364	7389	12856
365	7411	12838
366	7422	12802
367	7445	12786
368	7463	12762
369	7479	12735
370	7494	12705
371	7511	12681
372	7532	12661
373	7553	12643
374	7571	12619
375	7589	12594
376	7616	12586
377	7628	12552
378	7643	12523
379	7656	12491
380	7666	12455
381	7705	12465
382	7750	12486
383	7779	12480
384	7809	12474
385	7847	12483
386	7874	12472
387	7896	12455
388	7915	12432
389	7937	12415
390	7965	12406
391	7987	12389
392	8012	12374
393	8029	12349
394	8047	12326
395	8062	12297
396	8081	12275
397	8100	12252
398	8123	12236
399	8134	12201
400	8156	12183
401	8163	12144
402	8183	12123
403	8205	12105
404	8214	12067
405	8249	12069
406	8278	12061
407	8302	12046
408	8323	12027
409	8342	12005
410	8363	11986
411	8385	11967
412	8405	11946
413	8421	11920
414	8430	11884
415	8441	11850
416	8454	11820
417	8474	11799
418	8484	11765
419	8506	11747
420	8528	11729
421	8550	11711
422	8570	11690
423	8591	11671
424	8608	11647
425	8627	11624
426	8636	11589
427	8652	11563
428	8695	11573
429	8780	11639
430	8793	11609
431	8802	11573
432	8810	11537
433	8861	11557
434	8873	11524
435	8913	11530
436	8963	11548
437	8985	11529
438	9009	11512
439	9015	11474
440	9036	11454
441	9062	11440
442	9077	11413
443	9106	11403
444	9138	11397
445	9170	11390
446	9189	11368
447	9214	11353
448	9241	11340
449	9253	11310
450	9276	11292
451	9284	11256
452	9313	11245
453	9338	11231
454	9364	11216
455	9381	11192
456	9404	11173
457	9433	11163
458	9452	11141
459	9469	11116
460	9490	11096
461	9506	11070
462	9531	11054
463	9547	11028
464	9562	11001
465	9575	10972
466	9609	10967
467	9642	10960
468	9664	10941
469	9689	10926
470	9707	10902
471	9735	10890
472	9745	10858
473	9763	10834
474	9781	10811
475	9799	10787
476	9808	10754
477	9830	10734
478	9846	10710
479	9903	10728
480	9922	10706
481	9953	10696
482	9983	10686
483	10007	10669
484	10020	10640
485	10050	10629
486	10076	10614
487	10102	10599
488	10116	10571
489	10139	10553
490	10159	10532
491	10184	10515
492	10192	10482
493	10211	10459
494	10223	10430
495	10240	10405
496	10254	10378
497	10279	10362
498	10292	10333
499	10300	10300
500	10314	10273
501	10338	10255
502	10363	10239
503	10387	10222
504	10413	10207
505	10431	10183
506	10459	10171
507	10493	10162
508	10522	10150
509	10547	10133
510	10576	10121
511	10594	10097
512	10620	10082
513	10648	10068
514	10674	10052
515	10702	10038
516	10726	10020
517	10741	9994
518	10771	9982
519	10795	9964
520	10818	9946
521	10828	9915
522	10874	9918
523	10901	9903
524	10925	9884
525	10954	9871
526	10972	9847
527	10996	9830
528	11024	9816
529	11045	9794
530	11063	9771
531	11087	9753
532	11118	9741
533	11144	9725
534	11169	9708
535	11199	9695
536	11228	9681
537	11250	9661
538	11279	9646
539	11305	9630
540	11325	9608
541	11349	9590
542	11372	9571
543	11389	9547
544	11414	9529
545	11441	9513
546	11469	9498
547	11492	9479
548	11522	9465
549	11549	9449
550	11575	9432
551	11601	9415
552	11626	9397
553	11652	9381
554	11668	9356
555	11693	9337
556	11721	9322
557	11745	9303
558	11772	9287
559	11803	9273
560	11832	9259
561	11862	9245
562	11887	9227
563	11912	9208
564	11938	9191
565	11964	9174
566	11996	9161
567	12021	9143
568	12047	9125
569	12065	9102
570	12083	9078
571	12112	9063
572	12144	9049
573	12174	9035
574	12201	9018
575	12235	9006
576	12264	8991
577	12286	8970
578	12309	8950
579	12334	8931
580	12363	8916
581	12394	8901
582	12410	8876
583	12434	8857
584	12461	8839
585	12485	8820
586	12508	8800
587	12536	8783
588	12564	8767
589	12599	8755
590	12632	8742
591	12661	8726
592	12688	8708
593	12716	8691
594	12740	8672
595	12763	8651
596	12784	8630
597	12808	8610
598	12840	8596
599	12863	8575
600	12910	8570
601	12935	8551
602	12955	8529
603	12978	8508
604	13000	8487
605	13025	8468
606	13058	8454
607	13091	8440
608	13118	8422
609	13149	8406
610	13173	8386
611	13203	8370
612	13227	8350
613	13252	8331
614	13279	8313
615	13307	8295
616	13337	8278
617	13364	8261
618	13399	8247
619	13420	8225
620	13445	8205
621	13473	8188
622	13497	8167
623	13522	8148
624	13545	8127
625	13573	8109
626	13604	8093
627	13633	8075
628	13661	8058
629	13691	8041
630	13727	8027
631	13767	8016
632	13788	7994
633	13812	7973
634	13829	7948
635	13850	7927
636	13880	7910
637	13913	7894
638	13932	7871
639	13952	7848
640	13971	7824
641	13995	7804
642	14010	7778
643	14030	7755
644	14045	7730
645	14066	7708
646	14089	7687
647	14113	7666
648	14139	7647
649	14161	7625
650	14187	7605
651	14206	7582
652	14227	7560
653	14249	7538
654	14270	7516
655	14286	7491
656	14309	7470
657	14329	7447
658	14350	7425
659	14372	7403
660	14399	7384
661	14418	7361
662	14442	7341
663	14465	7319
664	14499	7304
665	14523	7283
666	14540	7259
667	14565	7238
668	14587	7217
