iter	Passed	Remaining
0	24	24815
1	41	20912
2	60	20259
3	78	19461
4	95	18990
5	111	18454
6	129	18362
7	146	18127
8	169	18630
9	188	18680
10	222	20025
11	233	19189
12	254	19340
13	272	19198
14	292	19198
15	313	19284
16	330	19095
17	346	18922
18	364	18811
19	380	18621
20	397	18530
21	412	18352
22	433	18423
23	449	18283
24	469	18325
25	483	18107
26	498	17972
27	508	17647
28	528	17690
29	545	17627
30	560	17507
31	572	17321
32	584	17124
33	599	17022
34	609	16811
35	622	16658
36	640	16663
37	653	16547
38	666	16432
39	684	16439
40	703	16452
41	717	16365
42	736	16394
43	750	16299
44	763	16212
45	777	16128
46	807	16373
47	820	16273
48	833	16185
49	848	16128
50	859	15986
51	874	15939
52	888	15883
53	904	15840
54	920	15812
55	931	15699
56	952	15759
57	971	15772
58	1000	15952
59	1017	15944
60	1032	15896
61	1049	15882
62	1071	15932
63	1087	15911
64	1110	15979
65	1132	16020
66	1144	15930
67	1163	15949
68	1183	15971
69	1207	16047
70	1234	16152
71	1312	16914
72	1384	17575
73	1412	17669
74	1431	17650
75	1450	17639
76	1469	17619
77	1489	17608
78	1506	17562
79	1527	17565
80	1543	17509
81	1554	17408
82	1573	17389
83	1595	17397
84	1613	17373
85	1630	17325
86	1644	17256
87	1656	17165
88	1677	17171
89	1696	17148
90	1715	17131
91	1731	17086
92	1746	17031
93	1764	17002
94	1780	16960
95	1809	17042
96	1830	17040
97	1849	17025
98	1864	16971
99	1877	16901
100	1887	16804
101	1905	16779
102	1922	16745
103	1942	16734
104	1961	16723
105	1977	16674
106	1995	16656
107	2015	16642
108	2037	16653
109	2057	16643
110	2076	16629
111	2099	16642
112	2119	16635
113	2135	16598
114	2151	16557
115	2172	16552
116	2193	16552
117	2215	16560
118	2240	16588
119	2267	16629
120	2293	16664
121	2313	16651
122	2327	16596
123	2340	16535
124	2354	16481
125	2377	16489
126	2394	16458
127	2414	16448
128	2437	16456
129	2461	16470
130	2484	16477
131	2506	16485
132	2532	16506
133	2563	16566
134	2595	16633
135	2619	16642
136	2641	16641
137	2661	16626
138	2680	16604
139	2697	16572
140	2721	16578
141	2741	16563
142	2764	16569
143	2788	16573
144	2806	16549
145	2859	16726
146	2887	16755
147	2908	16743
148	2931	16743
149	2965	16804
150	2989	16807
151	3025	16881
152	3062	16951
153	3087	16959
154	3110	16956
155	3134	16959
156	3153	16935
157	3179	16943
158	3202	16936
159	3223	16922
160	3247	16923
161	3284	16988
162	3306	16976
163	3328	16968
164	3351	16959
165	3368	16925
166	3387	16897
167	3409	16883
168	3428	16859
169	3446	16827
170	3465	16800
171	3487	16789
172	3503	16747
173	3520	16713
174	3534	16662
175	3551	16625
176	3572	16610
177	3596	16608
178	3615	16581
179	3629	16532
180	3650	16516
181	3671	16500
182	3683	16445
183	3704	16430
184	3727	16419
185	3747	16398
186	3769	16387
187	3789	16369
188	3809	16344
189	3837	16359
190	3861	16354
191	3875	16310
192	3886	16251
193	3905	16224
194	3925	16203
195	3946	16189
196	3966	16166
197	3990	16162
198	4010	16144
199	4031	16125
200	4055	16120
201	4075	16100
202	4095	16078
203	4111	16042
204	4129	16015
205	4155	16015
206	4180	16014
207	4197	15982
208	4217	15962
209	4236	15938
210	4255	15912
211	4281	15913
212	4305	15908
213	4321	15873
214	4337	15837
215	4355	15810
216	4369	15767
217	4386	15736
218	4404	15708
219	4422	15678
220	4436	15637
221	4456	15616
222	4474	15592
223	4491	15559
224	4515	15553
225	4534	15528
226	4556	15516
227	4571	15478
228	4583	15430
229	4597	15390
230	4612	15354
231	4631	15332
232	4651	15312
233	4666	15274
234	4683	15244
235	4700	15215
236	4719	15194
237	4734	15157
238	4746	15113
239	4770	15106
240	4785	15070
241	4800	15036
242	4820	15017
243	4850	15029
244	4876	15029
245	4894	15002
246	4914	14982
247	4929	14947
248	4944	14912
249	4960	14882
250	4981	14864
251	5001	14844
252	5023	14832
253	5041	14808
254	5059	14782
255	5080	14766
256	5099	14743
257	5121	14728
258	5140	14708
259	5165	14701
260	5185	14682
261	5206	14664
262	5218	14624
263	5231	14585
264	5253	14571
265	5292	14605
266	5310	14579
267	5329	14555
268	5343	14521
269	5362	14498
270	5382	14478
