iter	RMSE
0	88921.26504
1	88115.77514
2	87340.50505
3	86594.01422
4	85896.95872
5	85237.65284
6	84614.63469
7	84015.80353
8	83450.69061
9	82909.60695
10	82405.47458
11	81943.48245
12	81485.13626
13	81049.35548
14	80636.05994
15	80247.59458
16	79880.11007
17	79525.13608
18	79185.71913
19	78869.58264
20	78569.75449
21	78282.06325
22	78007.36307
23	77759.30347
24	77519.03743
25	77290.22402
26	77068.96972
27	76878.81683
28	76663.10545
29	76463.00665
30	76273.1304
31	76088.296
32	75920.90025
33	75758.97451
34	75604.06314
35	75456.64923
36	75317.12694
37	75183.9087
38	75061.36192
39	74944.9832
40	74840.41996
41	74731.07782
42	74627.86047
43	74535.34747
44	74449.37316
45	74367.83623
46	74292.4116
47	74215.32068
48	74139.99885
49	74070.25944
50	74007.62929
51	73946.8886
52	73891.01421
53	73832.98741
54	73781.09891
55	73732.63785
56	73684.46009
57	73638.50051
58	73593.75762
59	73553.83848
60	73513.84506
61	73476.62001
62	73440.97243
63	73409.11214
64	73372.86181
65	73341.51811
66	73317.35548
67	73284.69594
68	73258.22772
69	73233.71212
70	73208.13232
71	73186.49794
72	73165.42357
73	73141.08173
74	73121.78468
75	73092.0819
76	73073.15823
77	73050.47375
78	73029.28747
79	73007.69521
80	72990.01521
81	72971.96385
82	72955.99062
83	72939.457
84	72917.99917
85	72901.7925
86	72889.25782
87	72876.58705
88	72864.60002
89	72852.98208
90	72840.67761
91	72824.99085
92	72812.3336
93	72803.96128
94	72792.72535
95	72780.45314
96	72767.36086
97	72760.19029
98	72751.79209
99	72744.0504
100	72735.40787
101	72729.15465
102	72720.03003
103	72706.8592
104	72698.14082
105	72690.47266
106	72682.95642
107	72675.0916
108	72662.56821
109	72656.87021
110	72652.74524
111	72646.86531
112	72642.16748
113	72633.48315
114	72628.19548
115	72624.07647
116	72620.42898
117	72614.45838
118	72611.30569
119	72604.49405
120	72597.15217
121	72588.89145
122	72577.32581
123	72574.29328
124	72569.13631
125	72566.05858
126	72561.80592
127	72555.79827
128	72550.47397
129	72547.22664
130	72542.62191
131	72536.19293
132	72527.21741
133	72523.19807
134	72518.37102
135	72515.12983
136	72511.06375
137	72505.35676
138	72501.0516
139	72497.55948
140	72491.16174
141	72487.76576
142	72485.31809
143	72480.71289
144	72479.83837
145	72469.16474
146	72465.94072
147	72462.40799
148	72460.01077
149	72457.06732
150	72455.53022
151	72450.91579
152	72448.59387
153	72446.05058
154	72443.83382
155	72437.57548
156	72434.54423
157	72432.57983
158	72420.53954
159	72413.78673
160	72408.11372
161	72402.48979
162	72395.79478
163	72393.02519
164	72390.89846
165	72387.06161
166	72384.41714
167	72382.72064
168	72374.80651
169	72372.16663
170	72370.83618
171	72368.48485
172	72367.65249
173	72365.95349
174	72359.70783
175	72353.72624
176	72348.82133
177	72346.18659
178	72342.04832
179	72339.65092
180	72337.57041
181	72334.85768
182	72333.78034
183	72332.20204
184	72330.5647
185	72327.04406
186	72325.8673
187	72324.19493
188	72323.01652
189	72316.81787
190	72311.03231
191	72310.53615
192	72309.022
193	72308.04181
194	72304.88455
195	72303.23925
196	72301.13978
197	72298.97041
198	72292.4495
199	72285.16899
200	72282.02018
201	72277.40573
202	72274.75922
203	72268.95948
204	72267.94313
205	72267.13999
206	72266.78978
207	72264.32075
208	72260.3514
209	72254.52141
210	72248.83578
211	72244.82307
212	72243.58929
213	72240.98289
214	72234.19409
215	72230.60122
216	72225.09172
217	72221.43527
218	72220.48422
219	72219.8594
220	72213.03887
221	72210.4256
222	72203.30111
223	72196.9961
224	72195.72876
225	72195.51164
226	72190.68399
227	72184.11985
228	72182.59706
229	72178.6742
230	72173.71428
231	72173.04902
232	72171.87548
233	72166.79817
234	72163.8542
235	72162.37786
236	72157.77769
237	72156.58115
238	72156.57804
239	72155.34225
240	72154.86468
241	72151.87489
242	72147.10591
243	72142.91222
244	72138.26019
245	72131.029
246	72130.03909
247	72129.28515
248	72124.47446
249	72122.1671
250	72121.50473
251	72119.52072
252	72118.6499
253	72116.96989
254	72114.5006
255	72108.09678
256	72106.98041
257	72104.99046
258	72100.4698
259	72092.38568
260	72089.12776
261	72088.67288
262	72088.26628
263	72086.26707
264	72084.99089
265	72084.57155
266	72082.74979
267	72079.17488
268	72078.71987
269	72077.37972
270	72074.85264
271	72071.66947
272	72071.47459
273	72070.03673
274	72066.37477
275	72065.78512
276	72064.53332
277	72060.60761
278	72057.72754
279	72056.42886
280	72056.31106
281	72052.13836
282	72051.12552
283	72047.49789
284	72047.49537
285	72046.17008
286	72044.92455
287	72042.75795
288	72042.18917
289	72041.7213
290	72038.06297
291	72028.68907
292	72027.70327
293	72027.43585
294	72022.9144
295	72022.59218
296	72020.44007
297	72014.20827
298	72012.15969
299	72008.95919
300	72007.46101
301	72005.89559
302	72005.03016
303	72003.82976
304	72001.64165
305	72000.64195
306	71997.59898
307	71994.65601
308	71992.85134
309	71990.90311
310	71990.42644
311	71988.55486
312	71987.70094
313	71987.50491
314	71985.61442
315	71981.71487
316	71979.9351
317	71975.81008
318	71972.04502
319	71971.17197
320	71967.92485
321	71963.75966
322	71960.39971
323	71958.49406
324	71956.20479
325	71955.9433
326	71955.2791
327	71954.16355
328	71940.73446
329	71938.27493
330	71937.63749
331	71936.30597
332	71935.23343
333	71932.60593
334	71932.60516
335	71930.56569
336	71929.88774
337	71928.861
338	71927.82028
339	71926.1682
340	71921.74376
341	71920.69492
342	71919.34641
343	71918.69078
344	71912.15595
345	71911.49351
346	71909.63134
347	71908.28462
348	71908.17548
349	71906.56933
